item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition,image_basename,domain,subcategory,source
mv_0,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_1,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_2,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_3,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_5,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_6,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_7,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_8,A: 50°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_10,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_11,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_12,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_13,A: 70°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_15,C: [NUM]°,C,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_16,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_17,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_18,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_20,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_21,B,B,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_22,B,B,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_23,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_25,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_26,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_27,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_28,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_30,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_31,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_32,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_33,A: 35°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_35,A,A,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_36,A,A,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_37,A,A,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_38,B,B,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_40,B,B,A,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_41,A,A,A,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_42,B,B,A,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_43,B,B,A,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_45,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_46,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_47,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_48,A: 36°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_50,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_51,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_52,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_53,A: 60°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_55,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_56,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_57,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_58,A: 70°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_60,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_61,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_62,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_63,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_65,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_66,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_67,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_68,A: 35°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_70,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_71,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_72,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_73,A: 70°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_75,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_76,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_77,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_78,A: 50°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_80,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_81,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_82,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_83,A: 123°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_85,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_86,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_87,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_88,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_90,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_91,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_92,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_93,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_95,A[NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_96,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_97,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_98,A: 140°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_100,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_101,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_102,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_103,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_105,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_106,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_107,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_108,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
