item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition
mv_0,A,A,D,nan,I+T_masked
mv_1,A,A,D,nan,I+T_masked
mv_2,A,A,D,nan,I+T_masked
mv_3,A,A,D,nan,I+T_masked
mv_5,A,A,C,nan,I+T_masked
mv_6,A,A,C,nan,I+T_masked
mv_7,A,A,C,nan,I+T_masked
mv_8,C,C,C,nan,I+T_masked
mv_10,A,A,A,nan,I+T_masked
mv_11,A,A,A,nan,I+T_masked
mv_12,A,A,A,nan,I+T_masked
mv_13,A,A,A,nan,I+T_masked
mv_15,B,B,D,nan,I+T_masked
mv_16,D,D,D,nan,I+T_masked
mv_17,A,A,D,nan,I+T_masked
mv_18,A,A,D,nan,I+T_masked
mv_20,A,A,A,nan,I+T_masked
mv_21,A,A,A,nan,I+T_masked
mv_22,A,A,A,nan,I+T_masked
mv_23,C,C,A,nan,I+T_masked
mv_25,A,A,C,nan,I+T_masked
mv_26,A,A,C,nan,I+T_masked
mv_27,A,A,C,nan,I+T_masked
mv_28,C,C,C,nan,I+T_masked
mv_30,A,A,B,nan,I+T_masked
mv_31,A,A,B,nan,I+T_masked
mv_32,A,A,B,nan,I+T_masked
mv_33,C,C,B,nan,I+T_masked
mv_35,A,A,C,nan,I+T_masked
mv_36,A,A,C,nan,I+T_masked
mv_37,A,A,C,nan,I+T_masked
mv_38,2,2,C,nan,I+T_masked
mv_40,B,B,A,nan,I+T_masked
mv_41,B,B,A,nan,I+T_masked
mv_42,A,A,A,nan,I+T_masked
mv_43,A,A,A,nan,I+T_masked
mv_45,A,A,A,nan,I+T_masked
mv_46,A,A,A,nan,I+T_masked
mv_47,A,A,A,nan,I+T_masked
mv_48,A,A,A,nan,I+T_masked
mv_50,A,A,A,nan,I+T_masked
mv_51,A,A,A,nan,I+T_masked
mv_52,A,A,A,nan,I+T_masked
mv_53,A,A,A,nan,I+T_masked
mv_55,A,A,A,nan,I+T_masked
mv_56,A,A,A,nan,I+T_masked
mv_57,A,A,A,nan,I+T_masked
mv_58,A,A,A,nan,I+T_masked
mv_60,A,A,C,nan,I+T_masked
mv_61,A,A,C,nan,I+T_masked
mv_62,A,A,C,nan,I+T_masked
mv_63,A,A,C,nan,I+T_masked
mv_65,A,A,B,nan,I+T_masked
mv_66,A,A,B,nan,I+T_masked
mv_67,A,A,B,nan,I+T_masked
mv_68,C,C,B,nan,I+T_masked
mv_70,A,A,D,nan,I+T_masked
mv_71,A,A,D,nan,I+T_masked
mv_72,A,A,D,nan,I+T_masked
mv_73,C,C,D,nan,I+T_masked
mv_75,A,A,A,nan,I+T_masked
mv_76,A,A,A,nan,I+T_masked
mv_77,A,A,A,nan,I+T_masked
mv_78,A,A,A,nan,I+T_masked
mv_80,A,A,C,nan,I+T_masked
mv_81,A,A,C,nan,I+T_masked
mv_82,A,A,C,nan,I+T_masked
mv_83,A,A,C,nan,I+T_masked
mv_85,A,A,C,nan,I+T_masked
mv_86,A,A,C,nan,I+T_masked
mv_87,A,A,C,nan,I+T_masked
mv_88,C,C,C,nan,I+T_masked
mv_90,A,A,C,nan,I+T_masked
mv_91,A,A,C,nan,I+T_masked
mv_92,C,C,C,nan,I+T_masked
mv_93,C,C,C,nan,I+T_masked
mv_95,A,A,A,nan,I+T_masked
mv_96,A,A,A,nan,I+T_masked
mv_97,A,A,A,nan,I+T_masked
mv_98,A,A,A,nan,I+T_masked
mv_100,A,A,D,nan,I+T_masked
mv_101,A,A,D,nan,I+T_masked
mv_102,A,A,D,nan,I+T_masked
mv_103,C,C,D,nan,I+T_masked
mv_105,A,A,C,nan,I+T_masked
mv_106,A,A,C,nan,I+T_masked
mv_107,A,A,C,nan,I+T_masked
mv_108,A,A,C,nan,I+T_masked
mv_110,A,A,C,nan,I+T_masked
mv_111,A,A,C,nan,I+T_masked
mv_112,A,A,C,nan,I+T_masked
mv_113,A,A,C,nan,I+T_masked
mv_115,A,A,B,nan,I+T_masked
mv_116,A,A,B,nan,I+T_masked
mv_117,A,A,B,nan,I+T_masked
mv_118,C,C,B,nan,I+T_masked
mv_120,A,A,D,nan,I+T_masked
mv_121,A,A,D,nan,I+T_masked
mv_122,C,C,D,nan,I+T_masked
