item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition,image_basename,domain,subcategory,source
mv_0,C:120°,C,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_1,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_2,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_3,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_5,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_6,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_7,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_8,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_10,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_11,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_12,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_13,C:45°,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_15,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_16,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_17,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_18,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_20,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_21,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_22,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_23,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_25,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_26,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_27,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_28,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_30,C:35°,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_31,C:35°,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_32,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_33,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_35,D,D,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_36,D,D,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_37,D,D,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_38,D,D,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_40,D,D,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_41,B,B,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_42,D,D,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_43,C,C,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_45,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_46,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_47,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_48,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_50,C:60°,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_51,C:60°,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_52,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_53,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_55,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_56,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_57,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_58,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_60,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_61,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_62,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_63,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_65,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_66,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_67,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_68,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_70,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_71,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_72,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_73,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_75,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_76,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_77,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_78,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_80,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_81,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_82,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_83,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_85,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_86,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_87,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_88,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_90,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_91,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_92,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_93,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_95,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_96,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_97,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_98,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_100,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_101,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_102,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_103,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_105,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_106,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_107,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_108,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_110,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_111,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_112,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_113,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_115,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_116,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_117,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_118,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_120,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_121,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_122,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_123,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_125,A,A,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_126,A,A,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_127,A,A,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_128,A,A,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_130,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_131,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_132,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_133,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_135,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_136,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_137,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_138,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_140,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_141,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_142,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
