item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition,image_basename,domain,subcategory,source
mv_0,C:120°,C,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_1,C:120°,C,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_2,B,B,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_3,B,B,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_5,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_6,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_7,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_8,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_10,C:45°,C,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_11,C:45°,C,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_12,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_13,C:45°,C,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_15,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_16,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_17,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_18,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_20,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_21,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_22,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_23,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_25,A:50°,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_26,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_27,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_28,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_30,C:35°,C,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_31,C:35°,C,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_32,C:35°,C,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_33,C:35°,C,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_35,B,B,C,,I+T,,Plane Geometry,Length,GeoQA
mv_36,B,B,C,,I+T,,Plane Geometry,Length,GeoQA
mv_37,D,D,C,,I+T,,Plane Geometry,Length,GeoQA
mv_38,B,B,C,,I+T,,Plane Geometry,Length,GeoQA
mv_40,B,B,A,,I+T,,Plane Geometry,Length,GeoQA
mv_41,C,C,A,,I+T,,Plane Geometry,Length,GeoQA
mv_42,C,C,A,,I+T,,Plane Geometry,Length,GeoQA
mv_43,C,C,A,,I+T,,Plane Geometry,Length,GeoQA
mv_45,B:36°,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_46,B:36°,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_47,B:36°,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_48,B:36°,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_50,C:60°,C,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_51,C:60°,C,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_52,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_53,C,C,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_55,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_56,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_57,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_58,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_60,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_61,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_62,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_63,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_65,A:35°,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_66,A:35°,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_67,A:35°,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_68,A,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_70,A:70°,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_71,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_72,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_73,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_75,B,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_76,B:50°,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_77,B:50°,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_78,B:50°,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_80,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_81,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_82,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
