item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition
mv_0,C:120°,C,D,nan,I+T
mv_1,C:120°,C,D,nan,I+T
mv_2,B,B,D,nan,I+T
mv_3,B,B,D,nan,I+T
mv_5,A,A,C,nan,I+T
mv_6,A,A,C,nan,I+T
mv_7,A,A,C,nan,I+T
mv_8,A,A,C,nan,I+T
mv_10,C:45°,C,A,nan,I+T
mv_11,C:45°,C,A,nan,I+T
mv_12,A,A,A,nan,I+T
mv_13,C:45°,C,A,nan,I+T
mv_15,A,A,D,nan,I+T
mv_16,A,A,D,nan,I+T
mv_17,A,A,D,nan,I+T
mv_18,A,A,D,nan,I+T
mv_20,A,A,A,nan,I+T
mv_21,A,A,A,nan,I+T
mv_22,A,A,A,nan,I+T
mv_23,A,A,A,nan,I+T
mv_25,A:50°,A,C,nan,I+T
mv_26,A,A,C,nan,I+T
mv_27,A,A,C,nan,I+T
mv_28,A,A,C,nan,I+T
mv_30,C:35°,C,B,nan,I+T
mv_31,C:35°,C,B,nan,I+T
mv_32,C:35°,C,B,nan,I+T
mv_33,C:35°,C,B,nan,I+T
mv_35,B,B,C,nan,I+T
mv_36,B,B,C,nan,I+T
mv_37,D,D,C,nan,I+T
mv_38,B,B,C,nan,I+T
mv_40,B,B,A,nan,I+T
mv_41,C,C,A,nan,I+T
mv_42,C,C,A,nan,I+T
mv_43,C,C,A,nan,I+T
mv_45,B:36°,B,A,nan,I+T
mv_46,B:36°,B,A,nan,I+T
mv_47,B:36°,B,A,nan,I+T
mv_48,B:36°,B,A,nan,I+T
mv_50,C:60°,C,A,nan,I+T
mv_51,C:60°,C,A,nan,I+T
mv_52,A,A,A,nan,I+T
mv_53,C,C,A,nan,I+T
mv_55,A,A,A,nan,I+T
mv_56,A,A,A,nan,I+T
mv_57,A,A,A,nan,I+T
mv_58,A,A,A,nan,I+T
mv_60,A,A,C,nan,I+T
mv_61,A,A,C,nan,I+T
mv_62,A,A,C,nan,I+T
mv_63,A,A,C,nan,I+T
mv_65,A:35°,A,B,nan,I+T
mv_66,A:35°,A,B,nan,I+T
mv_67,A:35°,A,B,nan,I+T
mv_68,A,A,B,nan,I+T
mv_70,A:70°,A,D,nan,I+T
mv_71,A,A,D,nan,I+T
mv_72,A,A,D,nan,I+T
mv_73,A,A,D,nan,I+T
mv_75,B,B,A,nan,I+T
mv_76,B:50°,B,A,nan,I+T
mv_77,B:50°,B,A,nan,I+T
mv_78,B:50°,B,A,nan,I+T
mv_80,A,A,C,nan,I+T
mv_81,A,A,C,nan,I+T
mv_82,A,A,C,nan,I+T
mv_83,A,A,C,nan,I+T
mv_85,B,B,C,nan,I+T
mv_86,B,B,C,nan,I+T
mv_87,B,B,C,nan,I+T
mv_88,B,B,C,nan,I+T
mv_90,A,A,C,nan,I+T
mv_91,A,A,C,nan,I+T
mv_92,A,A,C,nan,I+T
mv_93,A,A,C,nan,I+T
mv_95,A,A,A,nan,I+T
mv_96,A,A,A,nan,I+T
mv_97,A,A,A,nan,I+T
mv_98,A,A,A,nan,I+T
mv_100,A,A,D,nan,I+T
mv_101,A,A,D,nan,I+T
mv_102,A,A,D,nan,I+T
mv_103,A,A,D,nan,I+T
mv_105,A,A,C,nan,I+T
mv_106,A,A,C,nan,I+T
mv_107,A,A,C,nan,I+T
mv_108,A,A,C,nan,I+T
mv_110,A:65°,A,C,nan,I+T
mv_111,A:65°,A,C,nan,I+T
mv_112,A,A,C,nan,I+T
mv_113,A,A,C,nan,I+T
