item_id,image_path,question_text_original,answer_gold_diagram,choices_optional,roi_hint_optional,answer_gold_text_misleading,condition,question_text,gold_correct_by
mv_0,data/mathverse_images/mv_0.png,"As shown in the figure, in triangle ABC, it is known that angle A = 80.0, angle B = 60.0, point D is on AB and point E is on AC, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°",D,,,None,I+T_masked,"As shown in the figure, in triangle ABC, it is known that angle A = [NUM], angle B = [NUM], point D is on AB and point E is on AC, DE parallel BC, then the size of angle CED is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_1,data/mathverse_images/mv_1.png,"As shown in the figure, it is known that angle A = 80.0, angle B = 60.0, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°",D,,,None,I+T_masked,"As shown in the figure, it is known that angle A = [NUM], angle B = [NUM], DE parallel BC, then the size of angle CED is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_2,data/mathverse_images/mv_2.png,"As shown in the figure, it is known that angle A = 80.0, angle B = 60.0, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°",D,,,None,I+T_masked,"As shown in the figure, it is known that angle A = [NUM], angle B = [NUM], then the size of angle CED is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_3,data/mathverse_images/mv_3.png,"As shown in the figure, DE parallel BC, then the size of angle CED is ()
Choices:
A:40°
B:60°
C:120°
D:140°",D,,,None,I+T_masked,"As shown in the figure, DE parallel BC, then the size of angle CED is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_5,data/mathverse_images/mv_5.png,"As shown in the figure, AB parallel CD, straight line EF intersects AB at point E, intersects CD at point F, EG bisects angle BEF, and it intersects CD at point G, angle 1 = 50.0, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°",C,,,None,I+T_masked,"As shown in the figure, AB parallel CD, straight line EF intersects AB at point E, intersects CD at point F, EG bisects angle BEF, and it intersects CD at point G, angle [NUM] = [NUM], then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_6,data/mathverse_images/mv_6.png,"As shown in the figure, AB parallel CD, EG bisects angle BEF, angle 1 = 50.0, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°",C,,,None,I+T_masked,"As shown in the figure, AB parallel CD, EG bisects angle BEF, angle [NUM] = [NUM], then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_7,data/mathverse_images/mv_7.png,"As shown in the figure, angle 1 = 50.0, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°",C,,,None,I+T_masked,"As shown in the figure, angle [NUM] = [NUM], then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_8,data/mathverse_images/mv_8.png,"As shown in the figure, AB parallel CD, EG bisects angle BEF, then angle 2 is equal to ()
Choices:
A:50°
B:60°
C:65°
D:90°",C,,,None,I+T_masked,"As shown in the figure, AB parallel CD, EG bisects angle BEF, then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_10,data/mathverse_images/mv_10.png,"As shown in the figure, BC and BA intersect at point B, BD bisects angle ABC, CD parallel AB, if angle BCD = 70.0, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°",A,,,None,I+T_masked,"As shown in the figure, BC and BA intersect at point B, BD bisects angle ABC, CD parallel AB, if angle BCD = [NUM], then the degree of angle CDB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_11,data/mathverse_images/mv_11.png,"As shown in the figure, BD bisects angle ABC, CD parallel AB, if angle BCD = 70.0, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°",A,,,None,I+T_masked,"As shown in the figure, BD bisects angle ABC, CD parallel AB, if angle BCD = [NUM], then the degree of angle CDB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
