item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition
mv_0,A,A,D,nan,I+T_perp
mv_1,D,D,D,nan,I+T_perp
mv_2,D,D,D,nan,I+T_perp
mv_3,D,D,D,nan,I+T_perp
mv_5,C,C,C,nan,I+T_perp
mv_6,A,A,C,nan,I+T_perp
mv_7,A,A,C,nan,I+T_perp
mv_8,B,B,C,nan,I+T_perp
mv_10,B,B,A,nan,I+T_perp
mv_11,B,B,A,nan,I+T_perp
mv_12,B,B,A,nan,I+T_perp
mv_13,B,B,A,nan,I+T_perp
mv_15,B,B,D,nan,I+T_perp
mv_16,B,B,D,nan,I+T_perp
mv_17,B,B,D,nan,I+T_perp
mv_18,B,B,D,nan,I+T_perp
mv_20,D,D,A,nan,I+T_perp
mv_21,D,D,A,nan,I+T_perp
mv_22,D,D,A,nan,I+T_perp
mv_23,D,D,A,nan,I+T_perp
mv_25,C,C,C,nan,I+T_perp
mv_26,C,C,C,nan,I+T_perp
mv_27,C,C,C,nan,I+T_perp
mv_28,C,C,C,nan,I+T_perp
mv_30,A,A,B,nan,I+T_perp
mv_31,A,A,B,nan,I+T_perp
mv_32,A,A,B,nan,I+T_perp
mv_33,D,D,B,nan,I+T_perp
mv_35,B,B,C,nan,I+T_perp
mv_36,B,B,C,nan,I+T_perp
mv_37,B,B,C,nan,I+T_perp
mv_38,C,C,C,nan,I+T_perp
mv_40,B,B,A,nan,I+T_perp
mv_41,B,B,A,nan,I+T_perp
mv_42,D,D,A,nan,I+T_perp
mv_43,B,B,A,nan,I+T_perp
mv_45,A,A,A,nan,I+T_perp
mv_46,A,A,A,nan,I+T_perp
mv_47,A,A,A,nan,I+T_perp
mv_48,C,C,A,nan,I+T_perp
mv_50,A,A,A,nan,I+T_perp
mv_51,A,A,A,nan,I+T_perp
mv_52,A,A,A,nan,I+T_perp
mv_53,A,A,A,nan,I+T_perp
mv_55,B,B,A,nan,I+T_perp
mv_56,B,B,A,nan,I+T_perp
mv_57,B,B,A,nan,I+T_perp
mv_58,B,B,A,nan,I+T_perp
mv_60,B,B,C,nan,I+T_perp
mv_61,B,B,C,nan,I+T_perp
mv_62,B,B,C,nan,I+T_perp
