item_id,image_basename,domain,subcategory,source
mv_0,,Plane Geometry,Angle,GeoQA
mv_1,,Plane Geometry,Angle,GeoQA
mv_2,,Plane Geometry,Angle,GeoQA
mv_3,,Plane Geometry,Angle,GeoQA
mv_4,,Plane Geometry,Angle,GeoQA
mv_5,,Plane Geometry,Angle,GeoQA
mv_6,,Plane Geometry,Angle,GeoQA
mv_7,,Plane Geometry,Angle,GeoQA
mv_8,,Plane Geometry,Angle,GeoQA
mv_9,,Plane Geometry,Angle,GeoQA
mv_10,,Plane Geometry,Angle,GeoQA
mv_11,,Plane Geometry,Angle,GeoQA
mv_12,,Plane Geometry,Angle,GeoQA
mv_13,,Plane Geometry,Angle,GeoQA
mv_14,,Plane Geometry,Angle,GeoQA
mv_15,,Plane Geometry,Angle,GeoQA
mv_16,,Plane Geometry,Angle,GeoQA
mv_17,,Plane Geometry,Angle,GeoQA
mv_18,,Plane Geometry,Angle,GeoQA
mv_19,,Plane Geometry,Angle,GeoQA
mv_20,,Plane Geometry,Angle,GeoQA
mv_21,,Plane Geometry,Angle,GeoQA
mv_22,,Plane Geometry,Angle,GeoQA
mv_23,,Plane Geometry,Angle,GeoQA
mv_24,,Plane Geometry,Angle,GeoQA
mv_25,,Plane Geometry,Angle,GeoQA
mv_26,,Plane Geometry,Angle,GeoQA
mv_27,,Plane Geometry,Angle,GeoQA
mv_28,,Plane Geometry,Angle,GeoQA
mv_29,,Plane Geometry,Angle,GeoQA
mv_30,,Plane Geometry,Angle,GeoQA
mv_31,,Plane Geometry,Angle,GeoQA
mv_32,,Plane Geometry,Angle,GeoQA
mv_33,,Plane Geometry,Angle,GeoQA
mv_34,,Plane Geometry,Angle,GeoQA
mv_35,,Plane Geometry,Length,GeoQA
mv_36,,Plane Geometry,Length,GeoQA
mv_37,,Plane Geometry,Length,GeoQA
mv_38,,Plane Geometry,Length,GeoQA
mv_39,,Plane Geometry,Length,GeoQA
mv_40,,Plane Geometry,Length,GeoQA
mv_41,,Plane Geometry,Length,GeoQA
mv_42,,Plane Geometry,Length,GeoQA
mv_43,,Plane Geometry,Length,GeoQA
mv_44,,Plane Geometry,Length,GeoQA
mv_45,,Plane Geometry,Angle,GeoQA
mv_46,,Plane Geometry,Angle,GeoQA
mv_47,,Plane Geometry,Angle,GeoQA
mv_48,,Plane Geometry,Angle,GeoQA
mv_49,,Plane Geometry,Angle,GeoQA
mv_50,,Plane Geometry,Angle,GeoQA
mv_51,,Plane Geometry,Angle,GeoQA
mv_52,,Plane Geometry,Angle,GeoQA
mv_53,,Plane Geometry,Angle,GeoQA
mv_54,,Plane Geometry,Angle,GeoQA
mv_55,,Plane Geometry,Angle,GeoQA
mv_56,,Plane Geometry,Angle,GeoQA
mv_57,,Plane Geometry,Angle,GeoQA
mv_58,,Plane Geometry,Angle,GeoQA
mv_59,,Plane Geometry,Angle,GeoQA
mv_60,,Plane Geometry,Angle,GeoQA
mv_61,,Plane Geometry,Angle,GeoQA
mv_62,,Plane Geometry,Angle,GeoQA
mv_63,,Plane Geometry,Angle,GeoQA
mv_64,,Plane Geometry,Angle,GeoQA
mv_65,,Plane Geometry,Angle,GeoQA
mv_66,,Plane Geometry,Angle,GeoQA
mv_67,,Plane Geometry,Angle,GeoQA
mv_68,,Plane Geometry,Angle,GeoQA
mv_69,,Plane Geometry,Angle,GeoQA
mv_70,,Plane Geometry,Angle,GeoQA
mv_71,,Plane Geometry,Angle,GeoQA
mv_72,,Plane Geometry,Angle,GeoQA
mv_73,,Plane Geometry,Angle,GeoQA
mv_74,,Plane Geometry,Angle,GeoQA
mv_75,,Plane Geometry,Angle,GeoQA
mv_76,,Plane Geometry,Angle,GeoQA
mv_77,,Plane Geometry,Angle,GeoQA
mv_78,,Plane Geometry,Angle,GeoQA
mv_79,,Plane Geometry,Angle,GeoQA
mv_80,,Plane Geometry,Angle,GeoQA
mv_81,,Plane Geometry,Angle,GeoQA
mv_82,,Plane Geometry,Angle,GeoQA
mv_83,,Plane Geometry,Angle,GeoQA
mv_84,,Plane Geometry,Angle,GeoQA
mv_85,,Plane Geometry,Angle,GeoQA
mv_86,,Plane Geometry,Angle,GeoQA
mv_87,,Plane Geometry,Angle,GeoQA
mv_88,,Plane Geometry,Angle,GeoQA
mv_89,,Plane Geometry,Angle,GeoQA
mv_90,,Plane Geometry,Angle,GeoQA
mv_91,,Plane Geometry,Angle,GeoQA
mv_92,,Plane Geometry,Angle,GeoQA
mv_93,,Plane Geometry,Angle,GeoQA
