item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition,image_basename,domain,subcategory,source
mv_0,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_1,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_2,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_3,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_5,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_6,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_7,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_8,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_10,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_11,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_12,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_13,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_15,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_16,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_17,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_18,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_20,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_21,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_22,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_23,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_25,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_26,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_27,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_28,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_30,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_31,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_32,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_33,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_35,B,B,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_36,B,B,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_37,B,B,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_38,C,C,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_40,B,B,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_41,B,B,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_42,D,D,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_43,B,B,A,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_45,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_46,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_47,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_48,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_50,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_51,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_52,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_53,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_55,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_56,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_57,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_58,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_60,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_61,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_62,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_63,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_65,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_66,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_67,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_68,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_70,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_71,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_72,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_73,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_75,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_76,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_77,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_78,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_80,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_81,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_82,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_83,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_85,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_86,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_87,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_88,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_90,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_91,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_92,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_93,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_95,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_96,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_97,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_98,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_100,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_101,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_102,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_103,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_105,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_106,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_107,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_108,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_110,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_111,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_112,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_113,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_115,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_116,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_117,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_118,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_120,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_121,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_122,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_123,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_125,B,B,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_126,B,B,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_127,B,B,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_128,B,B,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_130,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_131,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_132,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_133,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_135,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_136,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_137,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_138,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_140,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_141,D,D,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_142,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_143,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_145,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_146,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_147,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_148,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_150,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_151,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_152,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_153,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_155,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_156,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_157,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_158,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_160,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_161,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_162,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_163,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_165,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_166,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_167,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_168,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_170,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_171,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_172,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_173,A,A,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_175,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_176,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_177,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_178,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_180,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_181,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_182,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_183,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_185,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_186,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_187,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_188,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_190,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_191,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_192,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_193,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_195,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_196,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_197,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_198,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_200,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_201,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_202,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_203,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_205,B,B,B,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_206,B,B,B,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_207,B,B,B,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_208,B,B,B,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_210,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_211,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_212,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_213,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_215,A,A,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_216,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_217,A,A,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_218,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_220,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_221,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_222,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_223,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_225,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_226,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_227,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_228,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_230,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_231,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_232,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_233,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_235,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_236,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_237,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_238,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_240,C,C,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_241,C,C,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_242,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_243,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_245,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_246,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_247,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_248,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_250,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_251,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_252,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_253,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_255,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_256,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_257,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_258,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_260,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_261,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_262,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_263,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_265,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_266,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
