item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition,image_basename,domain,subcategory,source
mv_0,A,A,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_1,D,D,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_2,D,D,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_3,D,D,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_5,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_6,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_7,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_8,A,A,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_10,B,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_11,B,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_12,B,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_13,B,B,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_15,B,B,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_16,B,B,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_17,B,B,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_18,B,B,D,,I+T,,Plane Geometry,Angle,GeoQA
mv_20,D,D,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_21,D,D,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_22,D,D,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_23,D,D,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_25,C,C,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_26,C,C,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_27,C,C,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_28,C,C,C,,I+T,,Plane Geometry,Angle,GeoQA
mv_30,A,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_31,A,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_32,A,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_33,A,A,B,,I+T,,Plane Geometry,Angle,GeoQA
mv_35,B,B,C,,I+T,,Plane Geometry,Length,GeoQA
mv_36,B,B,C,,I+T,,Plane Geometry,Length,GeoQA
mv_37,B,B,C,,I+T,,Plane Geometry,Length,GeoQA
mv_38,C,C,C,,I+T,,Plane Geometry,Length,GeoQA
mv_40,B,B,A,,I+T,,Plane Geometry,Length,GeoQA
mv_41,B,B,A,,I+T,,Plane Geometry,Length,GeoQA
mv_42,D,D,A,,I+T,,Plane Geometry,Length,GeoQA
mv_43,B,B,A,,I+T,,Plane Geometry,Length,GeoQA
mv_45,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
mv_46,A,A,A,,I+T,,Plane Geometry,Angle,GeoQA
