item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition
mv_0,C:120°,C,D,nan,I+T_perp
mv_1,A,A,D,nan,I+T_perp
mv_2,A,A,D,nan,I+T_perp
mv_3,B,B,D,nan,I+T_perp
mv_5,A,A,C,nan,I+T_perp
mv_6,A,A,C,nan,I+T_perp
mv_7,A,A,C,nan,I+T_perp
mv_8,A,A,C,nan,I+T_perp
mv_10,C,C,A,nan,I+T_perp
mv_11,C,C,A,nan,I+T_perp
mv_12,A,A,A,nan,I+T_perp
mv_13,C:45°,C,A,nan,I+T_perp
mv_15,A,A,D,nan,I+T_perp
mv_16,A,A,D,nan,I+T_perp
mv_17,A,A,D,nan,I+T_perp
mv_18,A,A,D,nan,I+T_perp
mv_20,A,A,A,nan,I+T_perp
mv_21,A,A,A,nan,I+T_perp
mv_22,A,A,A,nan,I+T_perp
mv_23,A,A,A,nan,I+T_perp
mv_25,A,A,C,nan,I+T_perp
mv_26,A,A,C,nan,I+T_perp
mv_27,A,A,C,nan,I+T_perp
mv_28,A,A,C,nan,I+T_perp
mv_30,C:35°,C,B,nan,I+T_perp
mv_31,C:35°,C,B,nan,I+T_perp
mv_32,C,C,B,nan,I+T_perp
mv_33,C,C,B,nan,I+T_perp
mv_35,D,D,C,nan,I+T_perp
mv_36,D,D,C,nan,I+T_perp
mv_37,D,D,C,nan,I+T_perp
mv_38,D,D,C,nan,I+T_perp
mv_40,D,D,A,nan,I+T_perp
mv_41,B,B,A,nan,I+T_perp
mv_42,D,D,A,nan,I+T_perp
mv_43,C,C,A,nan,I+T_perp
mv_45,B,B,A,nan,I+T_perp
mv_46,B,B,A,nan,I+T_perp
mv_47,B,B,A,nan,I+T_perp
mv_48,B,B,A,nan,I+T_perp
mv_50,C:60°,C,A,nan,I+T_perp
mv_51,C:60°,C,A,nan,I+T_perp
mv_52,A,A,A,nan,I+T_perp
mv_53,C,C,A,nan,I+T_perp
mv_55,A,A,A,nan,I+T_perp
mv_56,A,A,A,nan,I+T_perp
mv_57,A,A,A,nan,I+T_perp
mv_58,A,A,A,nan,I+T_perp
mv_60,D,D,C,nan,I+T_perp
mv_61,A,A,C,nan,I+T_perp
mv_62,D,D,C,nan,I+T_perp
mv_63,A,A,C,nan,I+T_perp
mv_65,A,A,B,nan,I+T_perp
mv_66,A,A,B,nan,I+T_perp
mv_67,A,A,B,nan,I+T_perp
mv_68,A,A,B,nan,I+T_perp
mv_70,A,A,D,nan,I+T_perp
mv_71,A,A,D,nan,I+T_perp
mv_72,A,A,D,nan,I+T_perp
mv_73,A,A,D,nan,I+T_perp
mv_75,B,B,A,nan,I+T_perp
